"name","routes","st_astext"
"Cortlandt St","R,W","POINT(583521.854408956 4507077.862599085)"
"Rector St","1","POINT(583324.4866324601 4506805.373160211)"
"South Ferry","1","POINT(583304.1823994748 4506069.654048115)"
"138th St","4,5","POINT(590250.10594797 4518558.019924332)"
"149th St","4","POINT(590454.7399891173 4519145.719617855)"
"149th St","2,5","POINT(590465.8934191109 4519168.697483203)"
"161st St","B,D,4","POINT(590573.169495527 4520214.766177284)"
"167th St","B,D","POINT(591252.8314104103 4520950.353355553)"
"167th St","4","POINT(590946.3972262995 4521077.318976877)"
"170th St","B,D","POINT(591583.6111452815 4521434.846626811)"
"170th St","4","POINT(591242.9299575874 4521581.885937745)"
"174th St","2,5","POINT(593778.1006792779 4521296.802312818)"
"174th St","B,D","POINT(591869.9664924653 4522223.764813294)"
"176th St","4","POINT(591738.0407594513 4522525.443820641)"
"182nd St","B,D","POINT(592689.5870495995 4523444.425331826)"
"183rd St","4","POINT(592376.3344173424 4523612.701231836)"
"205th St","D","POINT(594420.6312621906 4525482.970855254)"
"219th St","2,5","POINT(595809.2912828986 4526455.750452453)"
"225th St","2,5","POINT(596003.2539138041 4526928.025236639)"
"231st St","1","POINT(592278.485621264 4525892.323865376)"
"233rd St","2,5","POINT(596254.2923462286 4527551.201403454)"
"238th St","1","POINT(592619.0071074129 4526581.286551019)"
"241st St","2","POINT(596827.1759617663 4528672.82245895)"
"242nd St","1","POINT(592792.7848516103 4527066.113576944)"
"W 4th St","B,D,F,V","POINT(584366.140243196 4509451.911886328)"
"3rd Ave","6","POINT(590482.6870882246 4518329.6766932225)"
"3rd Ave","2,5","POINT(591281.3450558048 4518902.025482102)"
"Allerton Ave","2,5","POINT(595454.5310878425 4524436.500620306)"
"Baychester Ave","5","POINT(597856.1560548496 4525936.781547634)"
"Bedford Park Blvd","B,D","POINT(593712.9968862006 4525155.296439261)"
"Bedford Park Blvd","4","POINT(593550.086762622 4525318.362722695)"
"Bronx Park East","2,5","POINT(595390.7441612857 4522610.04524754)"
"Brook Ave","6","POINT(591158.4627344842 4517957.545755097)"
"Buhre Ave","6","POINT(598436.4578931453 4522431.797854405)"
"Burke Ave","2,5","POINT(595458.2761002508 4525102.840811363)"
"Burnside Ave","4","POINT(592095.242680619 4523101.901924474)"
"Castle Hill Ave","6","POINT(596821.2408605267 4520985.437910634)"
"Cypress Ave","6","POINT(591563.7436134552 4517738.305929306)"
"Dyre Ave","5","POINT(598514.3107202318 4527104.058108437)"
"E 143rd St","6","POINT(592119.0801340764 4518038.842602893)"
"E 149th St","6","POINT(592424.9624278166 4518478.104652112)"
"E 177th St","6","POINT(595889.6025778356 4520832.971463354)"
"E 180th St","2,5","POINT(594912.9210183212 4521757.92404901)"
"E Tremont Ave","2,5","POINT(594385.8865431264 4521608.896559988)"
"Elder Ave","6","POINT(594509.0414594966 4520332.8512714235)"
"77th St","6","POINT(587777.162414756 4514151.62975823)"
"Fordham Rd","B,D","POINT(592948.8754703288 4524069.4395869505)"
"Fordham Rd","4","POINT(592612.2300651686 4524100.402505199)"
"Freeman St","2,5","POINT(593438.3005704349 4520495.395196005)"
"Gun Hill Rd","5","POINT(597260.8719363828 4524987.275429069)"
"Gun Hill Rd","2,5","POINT(595504.8445675793 4525766.929441574)"
"Hunts Point Ave","6","POINT(593467.7308229264 4519434.83129059)"
"Intervale Ave","2,5","POINT(593022.854690783 4519593.712477412)"
"Jackson Ave","2,5","POINT(592072.9680250831 4518931.918367432)"
